2026-01-21 12:45:43.618784: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:45.970394: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:48.326100: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:45:50.784413: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:45:52.937130: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:45:55.088109: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:45:57.338832: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:45:59.603887: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:01.950524: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:04.200175: Received {'room': 'room-1', 'temperature': 21.839, 'humidity': 28.998}
2026-01-21 12:46:06.657188: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:46:08.724637: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:11.076997: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:46:13.518795: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:15.976773: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:46:43.731633: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 28.998}
2026-01-21 12:46:46.205632: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:46:48.441402: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:46:50.885506: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:52.979168: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:46:55.393064: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 28.998}
2026-01-21 12:46:57.517104: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:00.249835: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:02.275081: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:04.408550: Received {'room': 'room-1', 'temperature': 21.844, 'humidity': 28.998}
2026-01-21 12:47:06.664191: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
